"","symbol","logFC","P.Value","chr","description","gene.signif.corr","gene.signif.corr.pval"
"1","Lgals3bp",-0.42700484148697,0.0066,"11","lectin, galactoside-binding, soluble, 3 binding protein",0.480699333015834,0.00830177479198373
"2","Zc3hav1",-0.211578179624257,0.019,"6","zinc finger CCCH type, antiviral 1",0.437316139614324,0.0176782239026915
"3","Irf7",-0.480947796400116,0.0262,"7","interferon regulatory factor 7",0.372897484008044,0.0463379643429344
"4","Ifit3b",-0.403681754241125,0.0266,"19","interferon-induced protein with tetratricopeptide repeats 3B",0.378713820066873,0.0427754042036915
"5","H2-K1",-0.245584245612737,0.0296,"17","histocompatibility 2, K1, K region",0.405011141261219,0.0292963283192602
"6","Oasl2",-0.6047514824989,0.0376,"5","2'-5' oligoadenylate synthetase-like 2",0.347950467607296,0.0643676135427819
"7","Bst2",-0.52347067931805,0.0412,"8","bone marrow stromal cell antigen 2",0.404798299127749,0.0293895627922804
"8","Ifitm3",-0.405666099077669,0.0456,"7","interferon induced transmembrane protein 3",0.40232499353339,0.0304907320261308
"9","Irgm1",-0.213261709672011,0.057,"11","immunity-related GTPase family M member 1",0.35310301483877,0.0602564969265602
"10","Eif2ak2",-0.20154430940952,0.0628,"17","eukaryotic translation initiation factor 2-alpha kinase 2",0.329785964558369,0.08062245587597
"11","Xaf1",-0.334135907139616,0.0664,"11","XIAP associated factor 1",0.344424854044024,0.0673041400134802
"12","Gbp3",-0.323555555488424,0.0716,"3","guanylate binding protein 3",0.284980034575603,0.134021681658419
"13","H2-D1",-0.268554700517678,0.0892,"17","histocompatibility 2, D region locus 1",0.346146635567237,0.065857328045585
"14","Stat1",-0.141156066259056,0.0956,"1","signal transducer and activator of transcription 1",0.307949032280773,0.104123517092701
"15","Ifit3",-0.336645372341275,0.136,"19","interferon-induced protein with tetratricopeptide repeats 3",0.256506449738876,0.179217250342125
"16","Ifit1",-0.388888585611083,0.188,"19","interferon-induced protein with tetratricopeptide repeats 1",0.296457837785549,0.118384478138923
"17","Rtp4",-0.237714826420951,0.2738,"16","receptor transporter protein 4",0.186539499550388,0.332595674568665
"18","Usp18",-0.320818002989931,0.2878,"6","ubiquitin specific peptidase 18",0.206542087586366,0.282382780083257
"19","Cd274",-0.0872094638710113,0.4998,"19","CD274 antigen",0.185890275555434,0.334311250837855
